gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,COUNTY,GSECTOR,GGROUP,GIND,GSUBIND
001000,A & E PLASTIK PAK INC,AE.2,3089,P,01,LU,25881,23369,1970-11-13,1978-06-30,,,,,
001001,A & M FOOD SERVICES INC,AMFD.,5812,P,01,LU,10015,6398,1983-09-20,1986-07-31,,25,2530,253010,25301040
001002,AAI CORP,AAIC.1,3825,C,01,LC,10023,22159,1972-12-14,1973-06-05,,,,,
001003,A.A. IMPORTING CO INC,ANTQ,5712,C,01,LU,10031,6672,1983-12-07,1989-08-16,,25,2550,255040,25504040
001004,AAR CORP,AIR,5080,P,01,LU,54594,20000,1972-04-24,E,,20,2010,201010,20101010
001005,A.B.A. INDUSTRIES INC,ABA.2,3724,C,01,LU,61903,11,1973-01-31,1983-01-31,,,,,
001007,ABKCO INDUSTRIES INC,4135B,3652,C,00X,LU,10058,20,1973-10-01,1979-01-30,,25,2540,254010,25401030
001007,ABKCO INDUSTRIES INC,4135B,3652,P,01,LU,10058,20,1979-01-31,1984-09-28,,25,2540,254010,25401030
001008,ABM COMPUTER SYSTEMS INC,ABMC.,3577,P,01,LC,10066,6331,1983-08-25,1987-02-26,,45,4520,452020,45202020
001009,ABS INDUSTRIES INC,ABSI.1,3460,C,01,LC,10074,5271,1982-01-18,1996-03-13,,15,1510,151040,15104020
001010,ACF INDUSTRIES INC,4165A,3743,P,01,LU,10006,22156,1962-01-31,1984-06-28,,20,2030,203040,20304010
001010,ACF INDUSTRIES INC,4165A,3743,C,00X,LU,10006,22156,1950-05-01,1962-01-30,,20,2030,203040,20304010
001011,ACS ENTERPRISES INC,ACSE,4841,P,01,LC,10082,5793,1983-03-21,1995-09-28,,25,2540,254010,25401020
001012,ACS INDUSTRIES INC,6927B,3357,P,01,LU,10103,52,1978-01-31,1989-12-29,,45,4520,452010,45201020
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,3661,P,01,LU,50906,2902,1979-03-16,2010-12-31,,45,4520,452010,45201020
001015,ADI ELECTRONICS INC,4327B,3678,P,01,LU,66405,5204,1982-01-29,1986-10-31,,45,4520,452030,45203010
001016,AEC INC,AECE,3585,C,00X,LC,10146,314,1973-11-01,1977-11-29,,20,2010,201020,20102010
001016,AEC INC,AECE,3585,P,01,LC,10146,314,1977-11-30,1988-04-26,,20,2010,201020,20102010
001017,AEL INDUSTRIES  -CL A,AELNA,3812,P,01,LC,10154,81,1972-12-14,1996-02-29,,20,2010,201010,20101010
001018,AES TECHNOLOGY SYSTEMS INC,2938B,3861,C,00X,LU,10162,88,1973-07-01,1979-01-30,,25,2520,252020,25202020
001018,AES TECHNOLOGY SYSTEMS INC,2938B,3861,C,01,LU,10162,88,1979-01-31,1981-03-04,,25,2520,252020,25202020
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,7380,C,01,LC,10189,93,1972-12-14,1988-02-09,,20,2020,202010,20201080
