gvkey,from,gvkeyx,conm,indextype,tic,indexid,indexcat,idxiddesc,thru,conm_cst,sedol,isin,fic,iid
028913,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2000-09-27,AMWAY JAPAN LTD,6028976,JP3686300009,JPN,01W
029128,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2005-03-23,MEMOREX TELEX JAPAN LTD,6577166,JP3921000000,JPN,01W
100384,1998-08-19,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1998-08-20,DAIEI INC,6249982,JP3480200009,JPN,01W
141380,2014-08-27,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2022-04-03,ENVIRONMENT FRIENDLY HOLDING,B0G9VP2,JP3440200008,JPN,01W
146540,2002-03-05,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2003-12-11,BANDAI VISUAL CO LTD,6418124,JP3778700009,JPN,01W
157674,2003-11-18,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2013-11-27,EBARA FOODS INDUSTRY INC,6700876,JP3165930003,JPN,01W
200057,1992-12-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2016-07-04,MAG NET HOLDINGS INC,6007511,JP3346450004,JPN,01W
200585,1995-09-07,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2022-04-03,SANSO ELECTRIC CO LTD,6768476,JP3335300004,JPN,01W
200586,1995-09-07,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2009-09-04,SEKI TECHNOTRON CORP,6768487,JP3420870002,JPN,01W
200653,1995-09-20,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2022-04-03,SUN MESSE CO LTD,6863252,JP3337150001,JPN,01W
200666,1995-10-04,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2000-03-09,ADVAN GROUP CO LTD,6050913,JP3121950004,JPN,01W
201318,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2022-04-03,COX CO LTD,6230685,JP3299200000,JPN,01W
201404,1993-07-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2000-09-06,AGRO KANESHO CO LTD,6009863,JP3108200001,JPN,01W
201405,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2021-11-17,AIKO CORP,6012775,JP3101300006,JPN,01W
201406,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1999-05-24,AIKOH CO LTD,6010519,JP3101200008,JPN,01W
201407,1994-09-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1997-01-03,AIM SERVICES CO LTD,6036816,JP3160650002,JPN,01W
201408,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2021-02-24,AIREX INC,6010627,JP3105150001,JPN,01W
201409,1993-05-03,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1996-09-27,AIRPORT FACILITIES CO LTD,6012742,JP3266050008,JPN,01W
201410,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1997-07-31,AIRTECH JAPAN LTD,6021395,JP3688100001,JPN,01W
201411,1992-08-03,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2016-12-08,VIA HOLDINGS INC,6011169,JP3107200002,JPN,01W
201412,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1995-07-28,ALL CORP,6354820,JP3174100002,JPN,01W
201413,1994-06-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1998-09-09,ALTECH CO LTD,6042028,JP3126150006,JPN,01W
201414,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2000-12-29,DIGI NET CO LTD,6001483,JP3688000003,JPN,01W
201416,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1998-02-13,AOI PRO INC,6001342,JP3105300002,JPN,01W
201417,1994-07-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2022-04-03,AOKI SUPER CO LTD,6023476,JP3105700003,JPN,01W
201418,1994-11-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1996-03-12,APIC YAMADA CORP,6017758,JP3122520004,JPN,01W
201425,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1996-09-27,ARIAKE JAPAN CO LTD,6049632,JP3125800007,JPN,01W
201426,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2008-12-30,ASAHI HOMES CO LTD,6055253,JP3116600002,JPN,01W
201427,1993-05-03,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2022-04-03,ASAHI KAGAKU KOGYO CO LTD,6060376,JP3111000000,JPN,01W
201428,1994-03-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,2007-03-15,ASAHIDANKE CO LTD,6055509,JP3114500006,JPN,01W
201429,1992-05-01,115114,Jasdaq Index,COMPOSITE,I2JPN017,JASDAQ,EXCHG,Japanese Over the Counter Exchange,1996-10-01,ASAHINA MACHINE CO,6055446,JP3115200002,JPN,01W
